"id","year","state_name","state_code","type_of_accident","cases","injured","died"
327,"2021","Bihar","10","Railway Accidents",1147.0,47.0,1151.0
328,"2021","Bihar","10","Railway Crossing Accidents",163.0,64.0,163.0
329,"2021","Bihar","10","Road Accidents",9553.0,7946.0,7660.0
330,"2021","Chandigarh","4","Railway Accidents",0.0,0.0,0.0
331,"2021","Chandigarh","4","Railway Crossing Accidents",0.0,0.0,0.0
332,"2021","Chandigarh","4","Road Accidents",208.0,172.0,96.0
333,"2021","Chhattisgarh","22","Railway Accidents",412.0,0.0,412.0
334,"2021","Chhattisgarh","22","Railway Crossing Accidents",0.0,0.0,0.0
335,"2021","Chhattisgarh","22","Road Accidents",12395.0,10682.0,5413.0
336,"2021","Delhi","7","Railway Accidents",676.0,126.0,550.0
337,"2021","Delhi","7","Railway Crossing Accidents",0.0,0.0,0.0
338,"2021","Delhi","7","Road Accidents",4720.0,3989.0,1239.0
339,"2021","Goa","30","Railway Accidents",49.0,0.0,49.0
340,"2021","Goa","30","Railway Crossing Accidents",0.0,0.0,0.0
341,"2021","Goa","30","Road Accidents",2850.0,856.0,226.0
342,"2021","Gujarat","24","Railway Accidents",571.0,1.0,579.0
343,"2021","Gujarat","24","Railway Crossing Accidents",0.0,0.0,0.0
344,"2021","Gujarat","24","Road Accidents",15200.0,13722.0,7457.0
345,"2021","Haryana","6","Railway Accidents",806.0,16.0,790.0
346,"2021","Haryana","6","Railway Crossing Accidents",160.0,2.0,158.0
347,"2021","Haryana","6","Road Accidents",10049.0,7972.0,4983.0
348,"2021","Himachal Pradesh","2","Railway Accidents",0.0,0.0,0.0
349,"2021","Himachal Pradesh","2","Railway Crossing Accidents",0.0,0.0,0.0
350,"2021","Himachal Pradesh","2","Road Accidents",2408.0,3445.0,1032.0
351,"2021","Jammu And Kashmir","1","Railway Accidents",15.0,0.0,15.0
352,"2021","Jammu And Kashmir","1","Railway Crossing Accidents",7.0,0.0,7.0
353,"2021","Jammu And Kashmir","1","Road Accidents",5402.0,6856.0,804.0
354,"2021","Jharkhand","20","Railway Accidents",284.0,20.0,271.0
355,"2021","Jharkhand","20","Railway Crossing Accidents",117.0,0.0,117.0
356,"2021","Jharkhand","20","Road Accidents",4728.0,3227.0,3513.0
357,"2021","Karnataka","29","Railway Accidents",0.0,0.0,0.0
