"id","year","state_name","state_code","mode_of_transport","injured","died"
355,"2021","Tamil Nadu","33","Suv / Car / Jeep / Etc.",10357.0,1998.0
356,"2021","Tamil Nadu","33","Three Wheeler/Auto Rickshaw",1935.0,534.0
357,"2021","Tamil Nadu","33","Tractor",302.0,89.0
358,"2021","Tamil Nadu","33","Truck/Lorry/Mini Truck",3072.0,1038.0
359,"2021","Tamil Nadu","33","Two Wheeler",30537.0,8259.0
360,"2021","Telangana","36","Animal Drawn Vehicle",0.0,2.0
361,"2021","Telangana","36","Bicycle",140.0,68.0
362,"2021","Telangana","36","Bus",525.0,68.0
363,"2021","Telangana","36","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,3.0
364,"2021","Telangana","36","Other Motor Vehicles",279.0,39.0
365,"2021","Telangana","36","Others",250.0,304.0
366,"2021","Telangana","36","Pedestrian",2699.0,1310.0
367,"2021","Telangana","36","Suv / Car / Jeep / Etc.",2735.0,604.0
368,"2021","Telangana","36","Three Wheeler/Auto Rickshaw",2114.0,390.0
369,"2021","Telangana","36","Tractor",218.0,176.0
370,"2021","Telangana","36","Truck/Lorry/Mini Truck",1080.0,511.0
371,"2021","Telangana","36","Two Wheeler",10067.0,4082.0
372,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Animal Drawn Vehicle",0.0,0.0
373,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Bicycle",2.0,1.0
374,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Bus",14.0,0.0
375,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
376,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Other Motor Vehicles",0.0,0.0
377,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Others",1.0,1.0
378,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Pedestrian",19.0,19.0
379,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Suv / Car / Jeep / Etc.",21.0,3.0
380,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Three Wheeler/Auto Rickshaw",12.0,0.0
381,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Tractor",0.0,4.0
382,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Truck/Lorry/Mini Truck",11.0,0.0
383,"2021","The Dadra And Nagar Haveli And Daman And Diu","38","Two Wheeler",91.0,48.0
384,"2021","Tripura","16","Animal Drawn Vehicle",0.0,0.0
385,"2021","Tripura","16","Bicycle",16.0,9.0
386,"2021","Tripura","16","Bus",12.0,1.0
387,"2021","Tripura","16","Hand Drawn Vehicle/ Cycle Rickshaw",3.0,0.0
388,"2021","Tripura","16","Other Motor Vehicles",76.0,16.0
389,"2021","Tripura","16","Others",1.0,0.0
390,"2021","Tripura","16","Pedestrian",72.0,44.0
391,"2021","Tripura","16","Suv / Car / Jeep / Etc.",146.0,30.0
392,"2021","Tripura","16","Three Wheeler/Auto Rickshaw",62.0,19.0
393,"2021","Tripura","16","Tractor",0.0,0.0
394,"2021","Tripura","16","Truck/Lorry/Mini Truck",46.0,24.0
395,"2021","Tripura","16","Two Wheeler",112.0,51.0
396,"2021","Uttar Pradesh","9","Animal Drawn Vehicle",171.0,106.0
397,"2021","Uttar Pradesh","9","Bicycle",540.0,349.0
